amount,end_block,start_block,borrower,account,no_of_block
22.095942008125466,20487307,20379307,0xc4900871ad90b33018ac521D0F8C003c3ee79d50,0x2C8fE6226Fa192b7a73A7D3614829bfD46C35587,108000
53.68113979304345,20487307,20379307,0x915188A790Dcdd06447244196694C9f8a7d2b4C0,0x2CB4dbF2b6ad48368358D39Df67D8e90F2E34F42,108000
0.000000000000000001,20487307,20379307,0x3630220f243288E3EAC4C5676fC191CFf5756431,0x2Cc35404947C2f77940647770c683e4420cDf1ab,108000
111.30330226793163,20487307,20379307,0xC7a0407186E949222B4D214C89431a33745e8b8C,0x2D2201dD75150293F0e2EdCd3DCE4C47aB39Cf3c,108000
0.000000000000000002,20487307,20379307,0x66e5d14F98A6e1d96311D1F1E1E75C1d8A182058,0x310e4256b0e2efA355C6EdC98224712856C778A1,108000
456.78252869015137,20487307,20379307,0xb7D865c7c63d758Db991B191E9c80c3867b34b8E,0x3258cBE96a94937903C23015B2Cd1780b421E03e,108000
0.000000000000000002,20411868,20379307,0x14730014EeA880F2D52aC0b67442c485242D9B9c,0x3475982F40080BDD3b776D151FF5eAe2ad0cB4fD,32561
25.55697071642612,20487307,20379307,0x51A125F89CBE0bFBFD62FeE8a750AAeC8fabC441,0x36e3d5111F9281018eb37b931ddF01A921d0a074,108000
20.001158422012868,20459274,20379307,0x12478d1a60a910C9CbFFb90648766a2bDD5918f5,0x39318B29c34f2e55C18773B7B13E77bC55B37440,79967
0.000000000000000002,20487307,20379307,0x669A5e73ab710B7a2E5E060A3726F046F4e7B491,0x3a7a7403834543F1657774183f92043737931dFB,108000
98.46752693670987,20487307,20379307,0x74BBD6D843DfD5710B010Bf16A440695E95E33A6,0x3a8ADE793091Abdc35941F9a7901D6f649223028,108000
130.18531033336376,20487307,20379307,0x7fbba6d804E1C10b4644496496cB70701642dA9A,0x3a904BB3a88d5630A3024F9328f07B66fE109B63,108000
80.50780239383823,20487307,20379307,0x42ccF4f456D7c7fEBF274242CACcD74AAa0a53d7,0x3B8c56b1593a13e5984fB641a96646CdD312C532,108000
12.71212663491449,20487307,20379307,0x05C6959d997cDe99d2f967367E5E9F1959bA9706,0x3fD63854bb554Db8f7aeB718114D8B7B7A2136cc,108000
86.77967895190858,20487307,20379307,0x3fa2e9DBB4d4a2aA618B1D0EE15814d386A8AA22,0x411eD4BD1918E60db5a1143d23aD7c1781Fe9Aac,108000
0.000000000000000002,20487307,20379307,0x23807719299c9bA3C6d60d4097146259c7A16da3,0x41C1eDd6E674A9C71cDBC4fa28dA3067C4FAecEf,108000
455.06798977151465,20487307,20379307,0x3deCF4f183fDfC93F5B273A1cEFb4ef55532a38c,0x4BC42e9470199d8Fdb831FDCb4Db37c393A7B043,108000
578.9136516356655,20487307,20379307,0xdD84Ce1aDcb3A4908Db61A1dFA3353C3974c5a2B,0x4E31Fc3aB33E93974dA79D83deA6C8371C1519Ab,108000
45.21982372032523,20487307,20379307,0x8F4Ab8038fF7de01D192F222700204aC0A43cCa8,0x4e8BF8F1B228b3C137114e9825D8Af1464A692f8,108000
182.13196036013304,20487307,20379307,0xCbD6b0DeE49EeA88a3343Ff4E5a2423586B4C1D6,0x4fcFD69C53a316357A901F86AE21F74715cCc37C,108000
383.2034121776868,20487307,20379307,0x3EC781A1Eb9dc378e7b13c9B259f6eFb6eD95CD1,0x51afdbA5596474C3a0aF60f5Fb091226Ac111e0c,108000
1.4535787783494385,20487307,20379307,0x11d67Fa925877813B744aBC0917900c2b1D6Eb81,0x51E53Bb4AeA04B24A9D78b149025Cc3904db0c0e,108000
0.000000000000000002,20487307,20379307,0x7f8DA5FBD700a134842109c54ABA576D5c3712b8,0x51F3c2a348CEead4fDd46Fa59Dc64fC7C88cc0da,108000
42.80896945851131,20487307,20379307,0x3ef5BECf7be659186a21A8B0DcCfcc583B0De69F,0x559EeA217019a8Cd1a8D5b98Fbf4dAa38d793352,108000
775.1766182061899,20487307,20379307,0xbB94454697Af498C3B1FdCe3DE65bbaDf821Cf0F,0x56AD039E01863566a91113fF0Dc3F9288322D6Fd,108000
250.78697497065994,20487307,20379307,0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,0x57EA15f7b862e83931688bDA0e7F5453bd1dd194,108000
528.440237915696,20487307,20379307,0x12478d1a60a910C9CbFFb90648766a2bDD5918f5,0x57ed1ED84461bb2079f8575d06A6feC07F0a13B1,108000
12.50227981691966,20487307,20379307,0x7c3a98d7268b5de10596Ed277931093C51AF6DA0,0x5b47fB59c23Ba120a79928a6D538E2f2992A1A9a,108000
0.000000000000000001,20487307,20379307,0x00CD2ff07447e2372549AC54Fba8548BEf968687,0x5D0c02E8520eB4b2611ed3a76313F5D7A3E4c9CD,108000
622.3269549508608,20487307,20379307,0x0594EeD4247745248ad46812C7FF84c5a61CC20E,0x60df6CF5e449fF326340f72f029160FDfbBFc04e,108000
73.32221731746141,20487307,20379307,0x918BEE7A1ed120e76aB4F46E139bc6C4F45165e6,0x61e13b13EcB83442a4fb883D0C70297EFc0D2e99,108000
0.000000000000000001,20487307,20379307,0xc6136d5d747350f0a9D46730c12bB6c5A14aDCCe,0x63cD1EfDD774BBE3f25bf04225A84a59790F68D2,108000
0.000000000000000001,20487307,20379307,0x58aC624321314FA76bEDD9c8318D6Ae26Bc121e5,0x6643D0F5E7B0f1a5e76D8e33Bf91f83950adc07A,108000
261.409725911796,20487307,20379307,0x51A125F89CBE0bFBFD62FeE8a750AAeC8fabC441,0x67ff882071A0054f58A387F770cD09e13889de73,108000
